date     ,state       ,district ,pincode ,demo_age_5_17 ,demo_age_17_ ,total_biometric ,month ,year
9/3/25   ,Maharashtra ,Nagpur   , 440024 ,            1 ,          28 ,             29 ,    9 ,2025
9/3/25   ,Maharashtra ,Nagpur   , 440027 ,            2 ,          21 ,             23 ,    9 ,2025
9/3/25   ,Maharashtra ,Nagpur   , 441306 ,            0 ,           3 ,              3 ,    9 ,2025
9/5/25   ,Maharashtra ,Nagpur   , 440024 ,            0 ,          14 ,             14 ,    9 ,2025
9/5/25   ,Maharashtra ,Nagpur   , 440027 ,            0 ,           5 ,              5 ,    9 ,2025
9/5/25   ,Maharashtra ,Nagpur   , 440034 ,            0 ,          12 ,             12 ,    9 ,2025
9/5/25   ,Maharashtra ,Nagpur   , 440035 ,            0 ,           7 ,              7 ,    9 ,2025
9/5/25   ,Maharashtra ,Nagpur   , 440036 ,            0 ,           3 ,              3 ,    9 ,2025
9/5/25   ,Maharashtra ,Nagpur   , 441102 ,            0 ,           1 ,              1 ,    9 ,2025
9/5/25   ,Maharashtra ,Nagpur   , 441108 ,            1 ,           2 ,              3 ,    9 ,2025
9/5/25   ,Maharashtra ,Nagpur   , 441111 ,            0 ,           1 ,              1 ,    9 ,2025
9/5/25   ,Maharashtra ,Nagpur   , 441122 ,            2 ,           0 ,              2 ,    9 ,2025
9/5/25   ,Maharashtra ,Nagpur   , 441202 ,            1 ,           3 ,              4 ,    9 ,2025
9/4/25   ,Maharashtra ,Nagpur   , 440010 ,            1 ,           2 ,              3 ,    9 ,2025
9/4/25   ,Maharashtra ,Nagpur   , 440016 ,            3 ,           6 ,              9 ,    9 ,2025
9/4/25   ,Maharashtra ,Nagpur   , 440017 ,            1 ,          19 ,             20 ,    9 ,2025
9/4/25   ,Maharashtra ,Nagpur   , 440018 ,            0 ,          12 ,             12 ,    9 ,2025
9/4/25   ,Maharashtra ,Nagpur   , 440025 ,            0 ,           6 ,              6 ,    9 ,2025
9/4/25   ,Maharashtra ,Nagpur   , 440036 ,            1 ,           1 ,              2 ,    9 ,2025
9/4/25   ,Maharashtra ,Nagpur   , 441103 ,            2 ,           8 ,             10 ,    9 ,2025
9/4/25   ,Maharashtra ,Nagpur   , 441104 ,            1 ,          17 ,             18 ,    9 ,2025
9/4/25   ,Maharashtra ,Nagpur   , 441112 ,            0 ,           3 ,              3 ,    9 ,2025
9/4/25   ,Maharashtra ,Nagpur   , 441204 ,            1 ,           7 ,              8 ,    9 ,2025
9/4/25   ,Maharashtra ,Nagpur   , 441303 ,            0 ,           3 ,              3 ,    9 ,2025
9/6/25   ,Maharashtra ,Nagpur   , 440006 ,            0 ,           3 ,              3 ,    9 ,2025
9/6/25   ,Maharashtra ,Nagpur   , 440017 ,            4 ,          11 ,             15 ,    9 ,2025
9/6/25   ,Maharashtra ,Nagpur   , 440026 ,            1 ,          15 ,             16 ,    9 ,2025
9/6/25   ,Maharashtra ,Nagpur   , 440036 ,            0 ,           3 ,              3 ,    9 ,2025
9/6/25   ,Maharashtra ,Nagpur   , 441001 ,            0 ,           2 ,              2 ,    9 ,2025
9/6/25   ,Maharashtra ,Nagpur   , 441103 ,            2 ,           7 ,              9 ,    9 ,2025
9/6/25   ,Maharashtra ,Nagpur   , 441104 ,            1 ,           7 ,              8 ,    9 ,2025
9/6/25   ,Maharashtra ,Nagpur   , 441110 ,            0 ,           4 ,              4 ,    9 ,2025
9/6/25   ,Maharashtra ,Nagpur   , 441111 ,            1 ,           1 ,              2 ,    9 ,2025
9/6/25   ,Maharashtra ,Nagpur   , 441210 ,            0 ,           6 ,              6 ,    9 ,2025
9/6/25   ,Maharashtra ,Nagpur   , 441501 ,            0 ,           5 ,              5 ,    9 ,2025
9/7/25   ,Maharashtra ,Nagpur   , 440009 ,            0 ,           1 ,              1 ,    9 ,2025
9/7/25   ,Maharashtra ,Nagpur   , 440022 ,            1 ,           2 ,              3 ,    9 ,2025
9/7/25   ,Maharashtra ,Nagpur   , 440024 ,            1 ,           5 ,              6 ,    9 ,2025
9/7/25   ,Maharashtra ,Nagpur   , 440025 ,            0 ,           1 ,              1 ,    9 ,2025
9/7/25   ,Maharashtra ,Nagpur   , 440026 ,            0 ,           4 ,              4 ,    9 ,2025
9/7/25   ,Maharashtra ,Nagpur   , 440034 ,            0 ,           4 ,              4 ,    9 ,2025
9/7/25   ,Maharashtra ,Nagpur   , 440037 ,            1 ,           3 ,              4 ,    9 ,2025
9/7/25   ,Maharashtra ,Nagpur   , 441404 ,            1 ,           0 ,              1 ,    9 ,2025
9/8/25   ,Maharashtra ,Nagpur   , 440003 ,            0 ,           9 ,              9 ,    9 ,2025
9/8/25   ,Maharashtra ,Nagpur   , 440013 ,            5 ,          21 ,             26 ,    9 ,2025
9/8/25   ,Maharashtra ,Nagpur   , 440030 ,            4 ,          11 ,             15 ,    9 ,2025
9/8/25   ,Maharashtra ,Nagpur   , 441001 ,            2 ,           5 ,              7 ,    9 ,2025
9/8/25   ,Maharashtra ,Nagpur   , 441102 ,            1 ,           9 ,             10 ,    9 ,2025
9/8/25   ,Maharashtra ,Nagpur   , 441103 ,            1 ,           9 ,             10 ,    9 ,2025
9/8/25   ,Maharashtra ,Nagpur   , 441104 ,            2 ,          16 ,             18 ,    9 ,2025
9/8/25   ,Maharashtra ,Nagpur   , 441107 ,            0 ,          28 ,             28 ,    9 ,2025
9/8/25   ,Maharashtra ,Nagpur   , 441113 ,            1 ,          10 ,             11 ,    9 ,2025
9/8/25   ,Maharashtra ,Nagpur   , 441301 ,            0 ,           1 ,              1 ,    9 ,2025
9/8/25   ,Maharashtra ,Nagpur   , 441501 ,            2 ,          26 ,             28 ,    9 ,2025
9/9/25   ,Maharashtra ,Nagpur   , 440030 ,            3 ,          18 ,             21 ,    9 ,2025
9/9/25   ,Maharashtra ,Nagpur   , 440033 ,            1 ,           1 ,              2 ,    9 ,2025
9/9/25   ,Maharashtra ,Nagpur   , 440035 ,            6 ,          37 ,             43 ,    9 ,2025
9/9/25   ,Maharashtra ,Nagpur   , 441101 ,            3 ,          13 ,             16 ,    9 ,2025
9/9/25   ,Maharashtra ,Nagpur   , 441112 ,            1 ,           6 ,              7 ,    9 ,2025
9/9/25   ,Maharashtra ,Nagpur   , 441123 ,            0 ,           1 ,              1 ,    9 ,2025
9/9/25   ,Maharashtra ,Nagpur   , 441204 ,            2 ,           5 ,              7 ,    9 ,2025
9/9/25   ,Maharashtra ,Nagpur   , 441304 ,            1 ,           5 ,              6 ,    9 ,2025
9/9/25   ,Maharashtra ,Nagpur   , 441404 ,            1 ,           4 ,              5 ,    9 ,2025
9/9/25   ,Maharashtra ,Nagpur   , 441501 ,            4 ,          19 ,             23 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 440002 ,            1 ,          23 ,             24 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 440003 ,            1 ,          11 ,             12 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 440007 ,            0 ,           1 ,              1 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 440008 ,            0 ,          37 ,             37 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 440010 ,            0 ,           6 ,              6 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 440013 ,            6 ,          33 ,             39 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 440023 ,            9 ,          39 ,             48 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 440025 ,            3 ,           6 ,              9 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 440034 ,            3 ,          54 ,             57 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 441104 ,            1 ,           9 ,             10 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 441202 ,            3 ,          15 ,             18 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 441204 ,            0 ,           8 ,              8 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 441210 ,            0 ,           4 ,              4 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 441302 ,            0 ,          15 ,             15 ,    9 ,2025
9/10/25  ,Maharashtra ,Nagpur   , 441306 ,            0 ,           1 ,              1 ,    9 ,2025
9/11/25  ,Maharashtra ,Nagpur   , 440001 ,            0 ,          10 ,             10 ,    9 ,2025
9/11/25  ,Maharashtra ,Nagpur   , 440004 ,            0 ,           6 ,              6 ,    9 ,2025
9/11/25  ,Maharashtra ,Nagpur   , 440005 ,            0 ,           2 ,              2 ,    9 ,2025
9/11/25  ,Maharashtra ,Nagpur   , 440007 ,            0 ,           1 ,              1 ,    9 ,2025
9/11/25  ,Maharashtra ,Nagpur   , 440023 ,            6 ,          33 ,             39 ,    9 ,2025
9/11/25  ,Maharashtra ,Nagpur   , 440025 ,            1 ,           3 ,              4 ,    9 ,2025
9/11/25  ,Maharashtra ,Nagpur   , 440030 ,            3 ,          11 ,             14 ,    9 ,2025
9/11/25  ,Maharashtra ,Nagpur   , 440036 ,            0 ,           3 ,              3 ,    9 ,2025
9/11/25  ,Maharashtra ,Nagpur   , 441108 ,            3 ,          23 ,             26 ,    9 ,2025
9/11/25  ,Maharashtra ,Nagpur   , 441113 ,            1 ,           3 ,              4 ,    9 ,2025
9/11/25  ,Maharashtra ,Nagpur   , 441204 ,            2 ,           7 ,              9 ,    9 ,2025
9/11/25  ,Maharashtra ,Nagpur   , 441306 ,            0 ,           1 ,              1 ,    9 ,2025
9/11/25  ,Maharashtra ,Nagpur   , 441501 ,            3 ,          23 ,             26 ,    9 ,2025
9/13/25  ,Maharashtra ,Nagpur   , 440006 ,            3 ,           4 ,              7 ,    9 ,2025
9/13/25  ,Maharashtra ,Nagpur   , 440016 ,            2 ,           2 ,              4 ,    9 ,2025
9/13/25  ,Maharashtra ,Nagpur   , 440022 ,            1 ,           9 ,             10 ,    9 ,2025
9/13/25  ,Maharashtra ,Nagpur   , 440023 ,            3 ,          15 ,             18 ,    9 ,2025
9/13/25  ,Maharashtra ,Nagpur   , 440027 ,            1 ,          15 ,             16 ,    9 ,2025
9/13/25  ,Maharashtra ,Nagpur   , 440037 ,            0 ,           6 ,              6 ,    9 ,2025
9/13/25  ,Maharashtra ,Nagpur   , 441001 ,            1 ,           2 ,              3 ,    9 ,2025
9/13/25  ,Maharashtra ,Nagpur   , 441111 ,            2 ,           8 ,             10 ,    9 ,2025
9/13/25  ,Maharashtra ,Nagpur   , 441123 ,            1 ,           1 ,              2 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440001 ,            2 ,           9 ,             11 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440003 ,            1 ,           5 ,              6 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440008 ,            2 ,          23 ,             25 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440013 ,            6 ,          20 ,             26 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440014 ,            5 ,          23 ,             28 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440016 ,            3 ,           7 ,             10 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440017 ,            0 ,          56 ,             56 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440020 ,            0 ,           1 ,              1 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440021 ,            0 ,           1 ,              1 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440023 ,            4 ,          41 ,             45 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440024 ,            6 ,          32 ,             38 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440029 ,            2 ,           1 ,              3 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440033 ,            0 ,           5 ,              5 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 440037 ,            0 ,           7 ,              7 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 441001 ,            0 ,           6 ,              6 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 441103 ,            2 ,          14 ,             16 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 441104 ,            3 ,          15 ,             18 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 441107 ,            3 ,          29 ,             32 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 441112 ,            2 ,           9 ,             11 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 441202 ,            3 ,          16 ,             19 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 441204 ,            1 ,           4 ,              5 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 441301 ,            1 ,           4 ,              5 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 441304 ,            1 ,           2 ,              3 ,    9 ,2025
9/12/25  ,Maharashtra ,Nagpur   , 441306 ,            1 ,           3 ,              4 ,    9 ,2025
9/15/25  ,Maharashtra ,Nagpur   , 440002 ,            0 ,          25 ,             25 ,    9 ,2025
9/15/25  ,Maharashtra ,Nagpur   , 440006 ,            0 ,           4 ,              4 ,    9 ,2025
9/15/25  ,Maharashtra ,Nagpur   , 440008 ,            2 ,          26 ,             28 ,    9 ,2025
9/15/25  ,Maharashtra ,Nagpur   , 440014 ,            0 ,          13 ,             13 ,    9 ,2025
9/15/25  ,Maharashtra ,Nagpur   , 440024 ,            8 ,          30 ,             38 ,    9 ,2025
9/15/25  ,Maharashtra ,Nagpur   , 440029 ,            0 ,           1 ,              1 ,    9 ,2025
9/15/25  ,Maharashtra ,Nagpur   , 441001 ,            2 ,          10 ,             12 ,    9 ,2025
9/15/25  ,Maharashtra ,Nagpur   , 441105 ,            4 ,          23 ,             27 ,    9 ,2025
9/15/25  ,Maharashtra ,Nagpur   , 441111 ,            1 ,           4 ,              5 ,    9 ,2025
9/15/25  ,Maharashtra ,Nagpur   , 441204 ,            1 ,           2 ,              3 ,    9 ,2025
9/15/25  ,Maharashtra ,Nagpur   , 441214 ,            2 ,           9 ,             11 ,    9 ,2025
9/15/25  ,Maharashtra ,Nagpur   , 441304 ,            0 ,           5 ,              5 ,    9 ,2025
9/15/25  ,Maharashtra ,Nagpur   , 441404 ,            0 ,           2 ,              2 ,    9 ,2025
9/14/25  ,Maharashtra ,Nagpur   , 440026 ,            3 ,          15 ,             18 ,    9 ,2025
9/14/25  ,Maharashtra ,Nagpur   , 440027 ,            0 ,           8 ,              8 ,    9 ,2025
9/14/25  ,Maharashtra ,Nagpur   , 440033 ,            0 ,           1 ,              1 ,    9 ,2025
9/14/25  ,Maharashtra ,Nagpur   , 441106 ,            1 ,           1 ,              2 ,    9 ,2025
9/14/25  ,Maharashtra ,Nagpur   , 441107 ,            0 ,           1 ,              1 ,    9 ,2025
9/14/25  ,Maharashtra ,Nagpur   , 441108 ,            0 ,           5 ,              5 ,    9 ,2025
9/14/25  ,Maharashtra ,Nagpur   , 441203 ,            0 ,           1 ,              1 ,    9 ,2025
9/14/25  ,Maharashtra ,Nagpur   , 441304 ,            0 ,           1 ,              1 ,    9 ,2025
9/16/25  ,Maharashtra ,Nagpur   , 440001 ,            0 ,           5 ,              5 ,    9 ,2025
9/16/25  ,Maharashtra ,Nagpur   , 440012 ,            0 ,           3 ,              3 ,    9 ,2025
9/16/25  ,Maharashtra ,Nagpur   , 440015 ,            0 ,          12 ,             12 ,    9 ,2025
9/16/25  ,Maharashtra ,Nagpur   , 440018 ,            2 ,          16 ,             18 ,    9 ,2025
9/16/25  ,Maharashtra ,Nagpur   , 440022 ,            1 ,          14 ,             15 ,    9 ,2025
9/16/25  ,Maharashtra ,Nagpur   , 440025 ,            0 ,           4 ,              4 ,    9 ,2025
9/16/25  ,Maharashtra ,Nagpur   , 440032 ,            1 ,           6 ,              7 ,    9 ,2025
9/16/25  ,Maharashtra ,Nagpur   , 441108 ,            0 ,          19 ,             19 ,    9 ,2025
9/16/25  ,Maharashtra ,Nagpur   , 441214 ,            0 ,           8 ,              8 ,    9 ,2025
9/16/25  ,Maharashtra ,Nagpur   , 441306 ,            0 ,           3 ,              3 ,    9 ,2025
9/17/25  ,Maharashtra ,Nagpur   , 440013 ,            4 ,          29 ,             33 ,    9 ,2025
9/17/25  ,Maharashtra ,Nagpur   , 440016 ,            0 ,           9 ,              9 ,    9 ,2025
9/17/25  ,Maharashtra ,Nagpur   , 440019 ,            1 ,           3 ,              4 ,    9 ,2025
9/17/25  ,Maharashtra ,Nagpur   , 440025 ,            0 ,           2 ,              2 ,    9 ,2025
9/17/25  ,Maharashtra ,Nagpur   , 440027 ,            3 ,          23 ,             26 ,    9 ,2025
9/17/25  ,Maharashtra ,Nagpur   , 441002 ,            3 ,          15 ,             18 ,    9 ,2025
9/17/25  ,Maharashtra ,Nagpur   , 441102 ,            0 ,           3 ,              3 ,    9 ,2025
9/17/25  ,Maharashtra ,Nagpur   , 441106 ,            3 ,          22 ,             25 ,    9 ,2025
9/17/25  ,Maharashtra ,Nagpur   , 441109 ,            0 ,           1 ,              1 ,    9 ,2025
9/17/25  ,Maharashtra ,Nagpur   , 441110 ,            3 ,          18 ,             21 ,    9 ,2025
9/17/25  ,Maharashtra ,Nagpur   , 441404 ,            2 ,           1 ,              3 ,    9 ,2025
9/17/25  ,Maharashtra ,Nagpur   , 441502 ,            2 ,           7 ,              9 ,    9 ,2025
9/18/25  ,Maharashtra ,Nagpur   , 440006 ,            2 ,           4 ,              6 ,    9 ,2025
9/18/25  ,Maharashtra ,Nagpur   , 440015 ,            0 ,           9 ,              9 ,    9 ,2025
9/18/25  ,Maharashtra ,Nagpur   , 440032 ,            0 ,          10 ,             10 ,    9 ,2025
9/18/25  ,Maharashtra ,Nagpur   , 440035 ,            6 ,          20 ,             26 ,    9 ,2025
9/18/25  ,Maharashtra ,Nagpur   , 441102 ,            0 ,           4 ,              4 ,    9 ,2025
9/18/25  ,Maharashtra ,Nagpur   , 441107 ,            1 ,           8 ,              9 ,    9 ,2025
9/18/25  ,Maharashtra ,Nagpur   , 441112 ,            2 ,           2 ,              4 ,    9 ,2025
9/18/25  ,Maharashtra ,Nagpur   , 441123 ,            1 ,           0 ,              1 ,    9 ,2025
9/18/25  ,Maharashtra ,Nagpur   , 441202 ,            3 ,           8 ,             11 ,    9 ,2025
9/18/25  ,Maharashtra ,Nagpur   , 441301 ,            0 ,           1 ,              1 ,    9 ,2025
9/19/25  ,Maharashtra ,Nagpur   , 440008 ,            6 ,          31 ,             37 ,    9 ,2025
9/19/25  ,Maharashtra ,Nagpur   , 440010 ,            0 ,          10 ,             10 ,    9 ,2025
9/19/25  ,Maharashtra ,Nagpur   , 440014 ,            2 ,          26 ,             28 ,    9 ,2025
9/19/25  ,Maharashtra ,Nagpur   , 440023 ,            9 ,          28 ,             37 ,    9 ,2025
9/19/25  ,Maharashtra ,Nagpur   , 440027 ,            6 ,          20 ,             26 ,    9 ,2025
9/19/25  ,Maharashtra ,Nagpur   , 440034 ,            7 ,          37 ,             44 ,    9 ,2025
9/19/25  ,Maharashtra ,Nagpur   , 441001 ,            0 ,           6 ,              6 ,    9 ,2025
9/19/25  ,Maharashtra ,Nagpur   , 441103 ,            2 ,           9 ,             11 ,    9 ,2025
9/19/25  ,Maharashtra ,Nagpur   , 441109 ,            0 ,           3 ,              3 ,    9 ,2025
9/19/25  ,Maharashtra ,Nagpur   , 441306 ,            1 ,           3 ,              4 ,    9 ,2025
9/19/25  ,Maharashtra ,Nagpur   , 441501 ,            0 ,          17 ,             17 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 440004 ,            0 ,           3 ,              3 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 440008 ,            4 ,          20 ,             24 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 440009 ,            3 ,          16 ,             19 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 440014 ,            2 ,          16 ,             18 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 440016 ,            0 ,           6 ,              6 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 440020 ,            0 ,           1 ,              1 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 440030 ,            1 ,          13 ,             14 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 441001 ,            0 ,           6 ,              6 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 441002 ,            1 ,           6 ,              7 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 441108 ,            0 ,          11 ,             11 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 441109 ,            1 ,           0 ,              1 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 441204 ,            0 ,           2 ,              2 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 441303 ,            0 ,           3 ,              3 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 441404 ,            0 ,           4 ,              4 ,    9 ,2025
9/20/25  ,Maharashtra ,Nagpur   , 441502 ,            1 ,           2 ,              3 ,    9 ,2025
10/13/25 ,Maharashtra ,Nagpur   , 440004 ,            0 ,           3 ,              3 ,   10 ,2025
10/13/25 ,Maharashtra ,Nagpur   , 440008 ,            0 ,          10 ,             10 ,   10 ,2025
10/13/25 ,Maharashtra ,Nagpur   , 440014 ,            0 ,           4 ,              4 ,   10 ,2025
10/13/25 ,Maharashtra ,Nagpur   , 440026 ,            0 ,          18 ,             18 ,   10 ,2025
10/13/25 ,Maharashtra ,Nagpur   , 440030 ,            1 ,           5 ,              6 ,   10 ,2025
10/13/25 ,Maharashtra ,Nagpur   , 441113 ,            0 ,           9 ,              9 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 440002 ,            1 ,          36 ,             37 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 440007 ,            0 ,           1 ,              1 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 440010 ,            1 ,          17 ,             18 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 440022 ,            1 ,          12 ,             13 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 440024 ,            2 ,          41 ,             43 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 440026 ,            5 ,          65 ,             70 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 440035 ,           12 ,          45 ,             57 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 440037 ,            2 ,          14 ,             16 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 441002 ,            2 ,          25 ,             27 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 441103 ,            3 ,          11 ,             14 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 441104 ,            3 ,          27 ,             30 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 441105 ,            1 ,          31 ,             32 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 441107 ,            3 ,          46 ,             49 ,   10 ,2025
10/15/25 ,Maharashtra ,Nagpur   , 441202 ,            2 ,          32 ,             34 ,   10 ,2025
