date,state,district,pincode,demo_age_5_17,demo_age_17_
07-11-2025,Sikkim,East Sikkim,737102,0,6
07-11-2025,Sikkim,East Sikkim,737135,0,2
12-11-2025,Sikkim,East Sikkim,737102,0,4
14-11-2025,Sikkim,East Sikkim,737133,0,1
08-11-2025,Sikkim,East Sikkim,737101,1,1
08-11-2025,Sikkim,East Sikkim,737135,0,1
11-11-2025,Sikkim,East Sikkim,737101,0,3
11-11-2025,Sikkim,East Sikkim,737103,0,2
11-11-2025,Sikkim,East Sikkim,737134,0,2
10-11-2025,Sikkim,East Sikkim,737101,0,8
10-11-2025,Sikkim,East Sikkim,737107,0,1
21-11-2025,Sikkim,East Sikkim,737101,1,6
21-11-2025,Sikkim,East Sikkim,737102,1,6
21-11-2025,Sikkim,East Sikkim,737103,0,2
21-11-2025,Sikkim,East Sikkim,737131,0,2
21-11-2025,Sikkim,East Sikkim,737134,0,5
21-11-2025,Sikkim,East Sikkim,737135,0,4
17-11-2025,Sikkim,East Sikkim,737101,0,3
17-11-2025,Sikkim,East Sikkim,737102,0,4
17-11-2025,Sikkim,East Sikkim,737106,0,2
17-11-2025,Sikkim,East Sikkim,737107,1,1
17-11-2025,Sikkim,East Sikkim,737134,0,7
18-11-2025,Sikkim,East Sikkim,737131,0,1
18-11-2025,Sikkim,East Sikkim,737138,0,1
19-11-2025,Sikkim,East Sikkim,737131,0,1
19-11-2025,Sikkim,East Sikkim,737134,0,9
02-11-2025,Sikkim,East Sikkim,737101,1,1
25-11-2025,Sikkim,East Sikkim,737102,1,5
25-11-2025,Sikkim,East Sikkim,737131,0,1
25-11-2025,Sikkim,East Sikkim,737132,0,1
24-11-2025,Sikkim,East Sikkim,737101,1,3
24-11-2025,Sikkim,East Sikkim,737103,0,5
01-12-2025,Sikkim,East Sikkim,737102,0,6
01-12-2025,Sikkim,East Sikkim,737132,0,3
30-10-2025,Sikkim,East Sikkim,737101,0,5
30-10-2025,Sikkim,East Sikkim,737107,0,1
30-10-2025,Sikkim,East Sikkim,737134,0,3
30-10-2025,Sikkim,East Sikkim,737135,0,1
29-10-2025,Sikkim,East Sikkim,737132,0,2
26-11-2025,Sikkim,East Sikkim,737102,0,1
02-12-2025,Sikkim,East Sikkim,737106,0,2
02-12-2025,Sikkim,East Sikkim,737132,0,2
27-11-2025,Sikkim,East Sikkim,737131,0,3
27-11-2025,Sikkim,East Sikkim,737135,2,1
28-11-2025,Sikkim,East Sikkim,737135,0,2
30-11-2025,Sikkim,East Sikkim,737134,0,1
29-11-2025,Sikkim,East Sikkim,737102,0,3
29-11-2025,Sikkim,East Sikkim,737103,0,3
29-11-2025,Sikkim,East Sikkim,737135,0,1
01-03-2025,Sikkim,East Sikkim,737134,13,176
02-09-2025,Sikkim,East Sikkim,737134,0,7
01-09-2025,Sikkim,East Sikkim,737102,2,10
01-09-2025,Sikkim,East Sikkim,737103,0,1
01-09-2025,Sikkim,East Sikkim,737107,0,2
01-09-2025,Sikkim,East Sikkim,737134,1,15
01-09-2025,Sikkim,East Sikkim,737135,0,5
03-09-2025,Sikkim,East Sikkim,737103,0,5
03-09-2025,Sikkim,East Sikkim,737133,0,4
04-09-2025,Sikkim,East Sikkim,737138,1,1
05-09-2025,Sikkim,East Sikkim,737101,1,11
05-09-2025,Sikkim,East Sikkim,737135,0,6
09-09-2025,Sikkim,East Sikkim,737101,0,12
09-09-2025,Sikkim,East Sikkim,737135,2,10
08-09-2025,Sikkim,East Sikkim,737133,1,3
08-09-2025,Sikkim,East Sikkim,737134,0,6
08-09-2025,Sikkim,East Sikkim,737135,0,7
10-09-2025,Sikkim,East Sikkim,737102,0,5
10-09-2025,Sikkim,East Sikkim,737132,0,1
11-09-2025,Sikkim,East Sikkim,737101,0,9
11-09-2025,Sikkim,East Sikkim,737102,1,3
11-09-2025,Sikkim,East Sikkim,737131,0,2
12-09-2025,Sikkim,East Sikkim,737103,0,3
13-09-2025,Sikkim,East Sikkim,737131,0,2
13-09-2025,Sikkim,East Sikkim,737132,0,2
13-09-2025,Sikkim,East Sikkim,737133,1,2
15-09-2025,Sikkim,East Sikkim,737131,0,4
15-09-2025,Sikkim,East Sikkim,737134,3,5
17-09-2025,Sikkim,East Sikkim,737106,0,2
16-09-2025,Sikkim,East Sikkim,737101,0,3
16-09-2025,Sikkim,East Sikkim,737102,1,3
18-09-2025,Sikkim,East Sikkim,737134,0,4
18-09-2025,Sikkim,East Sikkim,737139,0,1
20-09-2025,Sikkim,East Sikkim,737102,0,2
20-09-2025,Sikkim,East Sikkim,737131,0,1
13-10-2025,Sikkim,East Sikkim,737102,0,3
13-10-2025,Sikkim,East Sikkim,737103,1,2
15-10-2025,Sikkim,East Sikkim,737132,0,2
08-11-2025,Sikkim,East Sikkim,737134,0,2
09-11-2025,Sikkim,East Sikkim,737101,1,1
09-11-2025,Sikkim,East Sikkim,737133,0,1
11-11-2025,Sikkim,East Sikkim,737131,0,1
18-11-2025,Sikkim,East Sikkim,737103,0,2
03-12-2025,Sikkim,East Sikkim,737133,0,1
07-12-2025,Sikkim,East Sikkim,737134,1,0
20-10-2025,Sikkim,East Sikkim,737134,0,1
21-10-2025,Sikkim,East Sikkim,737106,1,2
24-10-2025,Sikkim,East Sikkim,737101,0,2
24-10-2025,Sikkim,East Sikkim,737103,0,1
24-10-2025,Sikkim,East Sikkim,737133,0,1
24-10-2025,Sikkim,East Sikkim,737134,0,2
16-10-2025,Sikkim,East Sikkim,737102,0,7
16-10-2025,Sikkim,East Sikkim,737103,0,1
16-10-2025,Sikkim,East Sikkim,737131,1,2
16-10-2025,Sikkim,East Sikkim,737134,2,5
16-10-2025,Sikkim,East Sikkim,737139,0,1
17-10-2025,Sikkim,East Sikkim,737101,0,5
17-10-2025,Sikkim,East Sikkim,737134,0,6
18-10-2025,Sikkim,East Sikkim,737102,0,1
18-10-2025,Sikkim,East Sikkim,737103,0,5
18-10-2025,Sikkim,East Sikkim,737107,1,0
18-10-2025,Sikkim,East Sikkim,737131,0,1
19-10-2025,Sikkim,East Sikkim,737133,0,1
26-10-2025,Sikkim,East Sikkim,737101,1,5
26-10-2025,Sikkim,East Sikkim,737134,0,1
25-10-2025,Sikkim,East Sikkim,737101,0,2
27-10-2025,Sikkim,East Sikkim,737102,0,4
27-10-2025,Sikkim,East Sikkim,737134,0,3
29-10-2025,Sikkim,East Sikkim,737131,1,2
28-10-2025,Sikkim,East Sikkim,737133,0,1
28-10-2025,Sikkim,East Sikkim,737135,1,3
09-12-2025,Sikkim,East Sikkim,737135,0,1
10-12-2025,Sikkim,East Sikkim,737138,1,0
15-12-2025,Sikkim,East Sikkim,737133,0,1
19-12-2025,Sikkim,East Sikkim,737131,0,1
22-12-2025,Sikkim,East Sikkim,737135,0,1
15-12-2025,Sikkim,East Sikkim,737103,1,2
15-12-2025,Sikkim,East Sikkim,737131,0,1
15-12-2025,Sikkim,East Sikkim,737132,0,1
15-12-2025,Sikkim,East Sikkim,737135,1,2
08-12-2025,Sikkim,East Sikkim,737107,0,2
08-12-2025,Sikkim,East Sikkim,737131,1,6
11-12-2025,Sikkim,East Sikkim,737106,0,2
11-12-2025,Sikkim,East Sikkim,737138,0,1
20-12-2025,Sikkim,East Sikkim,737106,0,1
20-12-2025,Sikkim,East Sikkim,737133,0,1
14-12-2025,Sikkim,East Sikkim,737134,0,2
13-12-2025,Sikkim,East Sikkim,737106,0,3
13-12-2025,Sikkim,East Sikkim,737135,0,3
17-12-2025,Sikkim,East Sikkim,737101,1,8
17-12-2025,Sikkim,East Sikkim,737133,1,5
16-12-2025,Sikkim,East Sikkim,737131,0,2
10-12-2025,Sikkim,East Sikkim,737106,1,6
10-12-2025,Sikkim,East Sikkim,737107,0,3
26-11-2025,Sikkim,East Sikkim,737103,0,2
29-12-2025,Sikkim,East Sikkim,737106,0,6
29-12-2025,Sikkim,East Sikkim,737132,1,0
12-12-2025,Sikkim,East Sikkim,737131,0,2
03-12-2025,Sikkim,East Sikkim,737103,0,3
06-12-2025,Sikkim,East Sikkim,737101,1,7
06-12-2025,Sikkim,East Sikkim,737107,0,1
06-12-2025,Sikkim,East Sikkim,737131,0,1
05-12-2025,Sikkim,East Sikkim,737134,0,13
10-11-2025,Sikkim,East Sikkim,737106,2,4
11-11-2025,Sikkim,East Sikkim,737133,0,1
11-11-2025,Sikkim,East Sikkim,737135,0,1
04-11-2025,Sikkim,East Sikkim,737131,1,2
05-11-2025,Sikkim,East Sikkim,737132,0,5
06-11-2025,Sikkim,East Sikkim,737101,1,5
06-11-2025,Sikkim,East Sikkim,737103,0,2
07-11-2025,Sikkim,East Sikkim,737132,0,2
12-11-2025,Sikkim,East Sikkim,737101,0,15
13-11-2025,Sikkim,East Sikkim,737106,0,1
13-11-2025,Sikkim,East Sikkim,737131,0,6
13-11-2025,Sikkim,East Sikkim,737133,0,1
13-11-2025,Sikkim,East Sikkim,737134,0,7
31-12-2025,Sikkim,East Sikkim,737103,2,2
01-01-2026,Sikkim,East Sikkim,737131,0,2
23-12-2025,Sikkim,East Sikkim,737132,0,2
23-12-2025,Sikkim,East Sikkim,737133,0,2
23-12-2025,Sikkim,East Sikkim,737134,0,1
24-12-2025,Sikkim,East Sikkim,737132,0,2
24-12-2025,Sikkim,East Sikkim,737133,0,1
22-12-2025,Sikkim,East Sikkim,737133,0,1
03-01-2026,Sikkim,East Sikkim,737134,0,2
02-01-2026,Sikkim,East Sikkim,737103,0,1
02-01-2026,Sikkim,East Sikkim,737135,0,1
18-12-2025,Sikkim,East Sikkim,737101,0,2
18-12-2025,Sikkim,East Sikkim,737103,1,1
15-11-2025,Sikkim,East Sikkim,737106,0,1
15-11-2025,Sikkim,East Sikkim,737135,0,2
18-11-2025,Sikkim,East Sikkim,737101,0,5
18-11-2025,Sikkim,East Sikkim,737132,0,3
18-11-2025,Sikkim,East Sikkim,737134,0,5
01-11-2025,Sikkim,East Sikkim,737132,0,1
02-11-2025,Sikkim,East Sikkim,737133,0,1
24-11-2025,Sikkim,East Sikkim,737132,1,0
28-11-2025,Sikkim,East Sikkim,737134,1,9
27-11-2025,Sikkim,East Sikkim,737138,0,2
03-11-2025,Sikkim,East Sikkim,737101,0,8
03-11-2025,Sikkim,East Sikkim,737103,0,5
03-11-2025,Sikkim,East Sikkim,737133,0,1
31-10-2025,Sikkim,East Sikkim,737102,0,4
26-11-2025,Sikkim,East Sikkim,737134,0,1
30-10-2025,Sikkim,East Sikkim,737102,2,3
29-10-2025,Sikkim,East Sikkim,737101,0,5
29-10-2025,Sikkim,East Sikkim,737106,1,3
29-10-2025,Sikkim,East Sikkim,737135,0,6
02-12-2025,Sikkim,East Sikkim,737101,1,3
30-11-2025,Sikkim,East Sikkim,737135,0,1
01-03-2025,Sikkim,East Sikkim,737101,18,161
01-09-2025,Sikkim,East Sikkim,737132,2,4
01-09-2025,Sikkim,East Sikkim,737138,0,1
02-09-2025,Sikkim,East Sikkim,737106,0,8
02-09-2025,Sikkim,East Sikkim,737131,0,6
03-09-2025,Sikkim,East Sikkim,737135,1,8
04-09-2025,Sikkim,East Sikkim,737133,0,2
04-09-2025,Sikkim,East Sikkim,737134,1,6
05-09-2025,Sikkim,East Sikkim,737132,0,1
05-09-2025,Sikkim,East Sikkim,737133,0,5
06-09-2025,Sikkim,East Sikkim,737131,0,1
08-09-2025,Sikkim,East Sikkim,737107,0,4
09-09-2025,Sikkim,East Sikkim,737131,1,3
10-09-2025,Sikkim,East Sikkim,737107,0,1
10-09-2025,Sikkim,East Sikkim,737131,0,5
10-09-2025,Sikkim,East Sikkim,737133,1,1
11-09-2025,Sikkim,East Sikkim,737107,0,1
12-09-2025,Sikkim,East Sikkim,737106,0,3
13-09-2025,Sikkim,East Sikkim,737135,1,1
15-09-2025,Sikkim,East Sikkim,737101,0,4
14-09-2025,Sikkim,East Sikkim,737102,0,1
16-09-2025,Sikkim,East Sikkim,737134,0,1
16-09-2025,Sikkim,East Sikkim,737135,0,6
17-09-2025,Sikkim,East Sikkim,737101,0,2
17-09-2025,Sikkim,East Sikkim,737133,1,0
17-09-2025,Sikkim,East Sikkim,737134,0,2
17-09-2025,Sikkim,East Sikkim,737135,0,2
18-09-2025,Sikkim,East Sikkim,737131,0,3
18-09-2025,Sikkim,East Sikkim,737133,0,2
19-09-2025,Sikkim,East Sikkim,737101,1,4
19-09-2025,Sikkim,East Sikkim,737102,0,4
19-09-2025,Sikkim,East Sikkim,737131,1,3
19-09-2025,Sikkim,East Sikkim,737132,0,2
19-09-2025,Sikkim,East Sikkim,737135,0,1
20-09-2025,Sikkim,East Sikkim,737134,1,1
13-10-2025,Sikkim,East Sikkim,737106,1,1
15-10-2025,Sikkim,East Sikkim,737102,2,9
16-10-2025,Sikkim,East Sikkim,737132,0,1
26-10-2025,Sikkim,East Sikkim,737131,0,2
18-10-2025,Sikkim,East Sikkim,737101,1,5
19-10-2025,Sikkim,East Sikkim,737102,1,5
19-10-2025,Sikkim,East Sikkim,737103,0,2
19-10-2025,Sikkim,East Sikkim,737106,0,1
21-10-2025,Sikkim,East Sikkim,737101,0,1
20-10-2025,Sikkim,East Sikkim,737102,0,1
24-10-2025,Sikkim,East Sikkim,737135,1,0
25-10-2025,Sikkim,East Sikkim,737131,0,1
25-10-2025,Sikkim,East Sikkim,737134,2,0
27-10-2025,Sikkim,East Sikkim,737107,0,1
27-10-2025,Sikkim,East Sikkim,737132,1,1
27-10-2025,Sikkim,East Sikkim,737135,0,2
28-10-2025,Sikkim,East Sikkim,737103,0,2
02-11-2025,Sikkim,East Sikkim,737102,1,1
09-11-2025,Sikkim,East Sikkim,737135,0,1
08-11-2025,Sikkim,East Sikkim,737102,0,4
11-11-2025,Sikkim,East Sikkim,737132,0,3
17-11-2025,Sikkim,East Sikkim,737133,0,1
07-12-2025,Sikkim,East Sikkim,737106,0,2
07-12-2025,Sikkim,East Sikkim,737132,0,2
14-12-2025,Sikkim,East Sikkim,737131,0,1
21-12-2025,Sikkim,East Sikkim,737103,0,3
21-12-2025,Sikkim,East Sikkim,737106,0,1
19-12-2025,Sikkim,East Sikkim,737134,0,1
20-12-2025,Sikkim,East Sikkim,737132,0,1
25-12-2025,Sikkim,East Sikkim,737132,0,1
29-12-2025,Sikkim,East Sikkim,737135,2,9
24-12-2025,Sikkim,East Sikkim,737135,0,1
28-12-2025,Sikkim,East Sikkim,737103,1,0
28-12-2025,Sikkim,East Sikkim,737131,0,1
01-01-2026,Sikkim,East Sikkim,737101,0,2
01-01-2026,Sikkim,East Sikkim,737134,1,1
03-01-2026,Sikkim,East Sikkim,737135,0,2
18-12-2025,Sikkim,East Sikkim,737135,0,1
20-12-2025,Sikkim,East Sikkim,737134,1,0
21-12-2025,Sikkim,East Sikkim,737101,0,1
21-12-2025,Sikkim,East Sikkim,737131,0,2
26-12-2025,Sikkim,East Sikkim,737102,0,1
22-12-2025,Sikkim,East Sikkim,737131,0,1
17-12-2025,Sikkim,East Sikkim,737131,1,1
10-12-2025,Sikkim,East Sikkim,737102,1,6
10-12-2025,Sikkim,East Sikkim,737132,0,1
10-12-2025,Sikkim,East Sikkim,737133,0,3
10-12-2025,Sikkim,East Sikkim,737135,0,5
09-12-2025,Sikkim,East Sikkim,737107,1,1
03-12-2025,Sikkim,East Sikkim,737101,0,8
03-12-2025,Sikkim,East Sikkim,737102,0,5
03-12-2025,Sikkim,East Sikkim,737107,0,3
03-12-2025,Sikkim,East Sikkim,737131,0,1
03-12-2025,Sikkim,East Sikkim,737132,0,1
04-12-2025,Sikkim,East Sikkim,737134,1,0
05-12-2025,Sikkim,East Sikkim,737102,0,11
06-12-2025,Sikkim,East Sikkim,737103,0,5
13-12-2025,Sikkim,East Sikkim,737107,0,2
13-12-2025,Sikkim,East Sikkim,737131,1,3
13-12-2025,Sikkim,East Sikkim,737132,0,2
08-12-2025,Sikkim,East Sikkim,737102,0,5
08-12-2025,Sikkim,East Sikkim,737103,0,6
08-12-2025,Sikkim,East Sikkim,737132,0,2
12-12-2025,Sikkim,East Sikkim,737101,0,4
12-12-2025,Sikkim,East Sikkim,737132,0,4
12-12-2025,Sikkim,East Sikkim,737135,0,6
11-12-2025,Sikkim,East Sikkim,737132,0,2
11-12-2025,Sikkim,East Sikkim,737135,0,3
08-11-2025,Sikkim,East Sikkim,737131,0,1
10-11-2025,Sikkim,East Sikkim,737102,1,7
10-11-2025,Sikkim,East Sikkim,737132,0,7
10-11-2025,Sikkim,East Sikkim,737134,0,4
10-11-2025,Sikkim,East Sikkim,737135,1,7
10-11-2025,Sikkim,East Sikkim,737138,0,1
12-11-2025,Sikkim,East Sikkim,737106,0,4
12-11-2025,Sikkim,East Sikkim,737131,0,4
13-11-2025,Sikkim,East Sikkim,737132,0,5
14-11-2025,Sikkim,East Sikkim,737135,0,4
17-11-2025,Sikkim,East Sikkim,737131,0,6
17-11-2025,Sikkim,East Sikkim,737135,0,4
05-11-2025,Sikkim,East Sikkim,737103,0,1
05-11-2025,Sikkim,East Sikkim,737106,0,3
05-11-2025,Sikkim,East Sikkim,737135,0,6
07-11-2025,Sikkim,East Sikkim,737103,1,4
07-11-2025,Sikkim,East Sikkim,737106,2,3
07-11-2025,Sikkim,East Sikkim,737134,0,8
07-11-2025,Sikkim,East Sikkim,737138,0,1
15-11-2025,Sikkim,East Sikkim,737102,0,4
15-11-2025,Sikkim,East Sikkim,737103,0,3
19-11-2025,Sikkim,East Sikkim,737102,0,5
19-11-2025,Sikkim,East Sikkim,737106,0,5
18-11-2025,Sikkim,East Sikkim,737106,1,5
18-11-2025,Sikkim,East Sikkim,737135,0,2
20-11-2025,Sikkim,East Sikkim,737101,1,1
20-11-2025,Sikkim,East Sikkim,737102,2,3
20-11-2025,Sikkim,East Sikkim,737103,0,1
20-11-2025,Sikkim,East Sikkim,737107,0,1
21-11-2025,Sikkim,East Sikkim,737106,1,2
02-11-2025,Sikkim,East Sikkim,737134,0,1
01-11-2025,Sikkim,East Sikkim,737103,0,1
01-11-2025,Sikkim,East Sikkim,737134,1,3
03-11-2025,Sikkim,East Sikkim,737132,0,1
03-11-2025,Sikkim,East Sikkim,737135,0,2
30-10-2025,Sikkim,East Sikkim,737103,0,3
30-10-2025,Sikkim,East Sikkim,737106,0,2
30-10-2025,Sikkim,East Sikkim,737131,0,4
30-10-2025,Sikkim,East Sikkim,737133,0,4
31-10-2025,Sikkim,East Sikkim,737101,0,5
31-10-2025,Sikkim,East Sikkim,737103,0,3
31-10-2025,Sikkim,East Sikkim,737106,0,1
31-10-2025,Sikkim,East Sikkim,737132,0,1
29-11-2025,Sikkim,East Sikkim,737101,2,6
29-11-2025,Sikkim,East Sikkim,737106,1,3
29-11-2025,Sikkim,East Sikkim,737134,0,2
24-11-2025,Sikkim,East Sikkim,737106,1,2
26-11-2025,Sikkim,East Sikkim,737101,0,2
26-11-2025,Sikkim,East Sikkim,737132,0,1
02-12-2025,Sikkim,East Sikkim,737103,0,3
02-12-2025,Sikkim,East Sikkim,737131,1,2
02-12-2025,Sikkim,East Sikkim,737135,0,2
01-12-2025,Sikkim,East Sikkim,737101,1,10
01-12-2025,Sikkim,East Sikkim,737106,0,5
01-12-2025,Sikkim,East Sikkim,737131,0,1
01-12-2025,Sikkim,East Sikkim,737133,0,4
01-12-2025,Sikkim,East Sikkim,737135,0,4
28-11-2025,Sikkim,East Sikkim,737107,0,2
27-11-2025,Sikkim,East Sikkim,737102,0,4
27-11-2025,Sikkim,East Sikkim,737103,0,5
27-11-2025,Sikkim,East Sikkim,737134,1,2
30-11-2025,Sikkim,East Sikkim,737101,0,1
01-03-2025,Sikkim,East Sikkim,737131,11,72
01-03-2025,Sikkim,East Sikkim,737102,17,144
01-03-2025,Sikkim,East Sikkim,737106,13,126
02-09-2025,Sikkim,East Sikkim,737101,0,13
02-09-2025,Sikkim,East Sikkim,737135,1,6
02-09-2025,Sikkim,East Sikkim,737138,1,0
03-09-2025,Sikkim,East Sikkim,737107,0,3
04-09-2025,Sikkim,East Sikkim,737103,1,5
05-09-2025,Sikkim,East Sikkim,737131,0,3
05-09-2025,Sikkim,East Sikkim,737134,1,12
06-09-2025,Sikkim,East Sikkim,737134,0,2
06-09-2025,Sikkim,East Sikkim,737135,0,2
09-09-2025,Sikkim,East Sikkim,737102,0,5
09-09-2025,Sikkim,East Sikkim,737134,2,8
08-09-2025,Sikkim,East Sikkim,737102,0,9
08-09-2025,Sikkim,East Sikkim,737103,0,5
08-09-2025,Sikkim,East Sikkim,737106,1,10
10-09-2025,Sikkim,East Sikkim,737101,0,7
10-09-2025,Sikkim,East Sikkim,737106,0,5
10-09-2025,Sikkim,East Sikkim,737134,0,5
10-09-2025,Sikkim,East Sikkim,737135,0,4
11-09-2025,Sikkim,East Sikkim,737106,0,7
11-09-2025,Sikkim,East Sikkim,737135,1,0
12-09-2025,Sikkim,East Sikkim,737132,0,2
13-09-2025,Sikkim,East Sikkim,737106,0,3
13-09-2025,Sikkim,East Sikkim,737134,0,2
15-09-2025,Sikkim,East Sikkim,737102,0,4
15-09-2025,Sikkim,East Sikkim,737106,0,5
14-09-2025,Sikkim,East Sikkim,737131,0,1
16-09-2025,Sikkim,East Sikkim,737106,1,2
17-09-2025,Sikkim,East Sikkim,737107,0,1
18-09-2025,Sikkim,East Sikkim,737107,0,2
18-09-2025,Sikkim,East Sikkim,737132,0,1
19-09-2025,Sikkim,East Sikkim,737133,1,3
20-09-2025,Sikkim,East Sikkim,737101,0,4
20-09-2025,Sikkim,East Sikkim,737107,1,0
13-10-2025,Sikkim,East Sikkim,737135,1,2
16-10-2025,Sikkim,East Sikkim,737106,0,5
26-10-2025,Sikkim,East Sikkim,737102,0,1
21-10-2025,Sikkim,East Sikkim,737102,0,2
21-10-2025,Sikkim,East Sikkim,737107,0,1
02-11-2025,Sikkim,East Sikkim,737135,0,1
18-10-2025,Sikkim,East Sikkim,737132,0,1
