date,state,district,pincode,demo_age_5_17,demo_age_17_
26-11-2025,Orissa,Puri,752045,1,1
26-11-2025,Orissa,Puri,752105,1,1
01-12-2025,Orissa,Puri,752002,1,6
01-12-2025,Orissa,Puri,752015,0,2
01-12-2025,Orissa,Puri,752104,0,1
27-11-2025,Orissa,Puri,752106,0,1
02-12-2025,Orissa,Puri,752002,0,2
02-12-2025,Orissa,Puri,752046,0,5
28-11-2025,Orissa,Puri,752016,0,2
28-11-2025,Orissa,Puri,752105,0,1
28-11-2025,Orissa,Puri,752108,1,1
28-11-2025,Orissa,Puri,752109,0,2
28-11-2025,Orissa,Puri,754004,0,1
29-11-2025,Orissa,Puri,752016,0,4
29-11-2025,Orissa,Puri,752107,0,1
29-11-2025,Orissa,Puri,752116,0,1
30-11-2025,Orissa,Puri,752016,0,1
01-09-2025,Orissa,Puri,752014,0,5
02-09-2025,Orissa,Puri,752016,0,7
02-09-2025,Orissa,Puri,752045,0,1
02-09-2025,Orissa,Puri,752046,0,3
02-09-2025,Orissa,Puri,752104,0,1
02-09-2025,Orissa,Puri,752107,0,1
02-09-2025,Orissa,Puri,752116,0,1
04-09-2025,Orissa,Puri,752046,0,4
04-09-2025,Orissa,Puri,752105,0,2
04-09-2025,Orissa,Puri,752114,0,1
03-09-2025,Orissa,Puri,752105,0,1
03-09-2025,Orissa,Puri,752111,1,0
06-09-2025,Orissa,Puri,752002,0,2
06-09-2025,Orissa,Puri,752016,0,2
06-09-2025,Orissa,Puri,752110,0,3
06-09-2025,Orissa,Puri,752111,0,3
06-09-2025,Orissa,Puri,752114,0,1
05-09-2025,Orissa,Puri,752104,1,0
08-09-2025,Orissa,Puri,752012,0,1
08-09-2025,Orissa,Puri,752104,0,2
09-09-2025,Orissa,Puri,751002,0,1
09-09-2025,Orissa,Puri,752014,0,12
09-09-2025,Orissa,Puri,752046,0,1
09-09-2025,Orissa,Puri,752105,0,2
09-09-2025,Orissa,Puri,752119,0,1
10-09-2025,Orissa,Puri,752119,0,1
12-09-2025,Orissa,Puri,752016,0,3
11-09-2025,Orissa,Puri,752046,0,1
11-09-2025,Orissa,Puri,752108,0,2
11-09-2025,Orissa,Puri,752118,0,1
15-09-2025,Orissa,Puri,752002,0,5
17-09-2025,Orissa,Puri,752106,0,2
17-09-2025,Orissa,Puri,752110,0,2
16-09-2025,Orissa,Puri,752015,0,1
16-09-2025,Orissa,Puri,752108,0,1
16-09-2025,Orissa,Puri,752110,0,1
16-09-2025,Orissa,Puri,752114,0,3
18-09-2025,Orissa,Puri,752014,2,5
18-09-2025,Orissa,Puri,752015,0,1
18-09-2025,Orissa,Puri,752016,0,4
18-09-2025,Orissa,Puri,752046,0,2
18-09-2025,Orissa,Puri,752108,0,1
19-09-2025,Orissa,Puri,752045,0,1
19-09-2025,Orissa,Puri,752104,0,1
19-09-2025,Orissa,Puri,752108,0,1
20-09-2025,Orissa,Puri,752002,0,2
20-09-2025,Orissa,Puri,752016,0,2
20-09-2025,Orissa,Puri,752046,0,1
20-09-2025,Orissa,Puri,752104,0,1
20-09-2025,Orissa,Puri,752111,1,0
13-10-2025,Orissa,Puri,752110,0,2
15-10-2025,Orissa,Puri,752014,0,7
15-10-2025,Orissa,Puri,752109,0,5
15-10-2025,Orissa,Puri,752110,1,1
16-10-2025,Orissa,Puri,752015,0,3
16-10-2025,Orissa,Puri,752100,0,1
16-10-2025,Orissa,Puri,752108,0,1
12-11-2025,Orissa,Puri,751002,0,1
12-11-2025,Orissa,Puri,752109,0,1
16-11-2025,Orissa,Puri,752014,0,2
16-11-2025,Orissa,Puri,752016,0,1
17-11-2025,Orissa,Puri,752046,0,1
07-12-2025,Orissa,Puri,752002,1,0
07-12-2025,Orissa,Puri,752011,0,1
11-12-2025,Orissa,Puri,752107,0,1
11-12-2025,Orissa,Puri,752110,0,1
12-12-2025,Orissa,Puri,752003,0,1
13-12-2025,Orissa,Puri,752045,0,1
14-12-2025,Orissa,Puri,752110,0,1
14-12-2025,Orissa,Puri,752116,0,1
26-10-2025,Orissa,Puri,752110,0,5
26-10-2025,Orissa,Puri,752111,0,1
26-10-2025,Orissa,Puri,752113,0,1
26-10-2025,Orissa,Puri,752114,0,1
21-10-2025,Orissa,Puri,752105,0,1
20-10-2025,Orissa,Puri,752046,0,1
18-10-2025,Orissa,Puri,752016,0,1
18-10-2025,Orissa,Puri,752106,0,1
19-10-2025,Orissa,Puri,751002,0,1
19-10-2025,Orissa,Puri,752104,0,1
19-10-2025,Orissa,Puri,752106,0,1
19-10-2025,Orissa,Puri,752109,0,2
23-10-2025,Orissa,Puri,752118,0,1
24-10-2025,Orissa,Puri,752106,0,9
24-10-2025,Orissa,Puri,752119,0,2
25-10-2025,Orissa,Puri,752011,0,2
25-10-2025,Orissa,Puri,752014,0,6
25-10-2025,Orissa,Puri,752108,0,1
25-10-2025,Orissa,Puri,752110,0,3
25-10-2025,Orissa,Puri,752116,0,1
27-10-2025,Orissa,Puri,752109,0,1
27-10-2025,Orissa,Puri,752114,0,1
29-10-2025,Orissa,Puri,752110,0,1
28-10-2025,Orissa,Puri,752002,1,2
28-10-2025,Orissa,Puri,752107,0,1
05-11-2025,Orissa,Puri,752108,1,0
04-11-2025,Orissa,Puri,752011,2,0
27-11-2025,Orissa,Puri,752105,0,3
21-12-2025,Orissa,Puri,752046,0,1
21-12-2025,Orissa,Puri,752106,0,1
29-12-2025,Orissa,Puri,752011,0,2
29-12-2025,Orissa,Puri,752105,0,1
29-12-2025,Orissa,Puri,752108,0,1
18-12-2025,Orissa,Puri,752002,0,5
18-12-2025,Orissa,Puri,752014,1,9
18-12-2025,Orissa,Puri,752016,0,3
18-12-2025,Orissa,Puri,752106,1,3
15-12-2025,Orissa,Puri,752011,0,2
15-12-2025,Orissa,Puri,752046,0,2
15-12-2025,Orissa,Puri,752109,0,1
16-12-2025,Orissa,Puri,752016,0,2
16-12-2025,Orissa,Puri,752116,0,1
08-12-2025,Orissa,Puri,752045,0,3
08-12-2025,Orissa,Puri,752046,0,7
08-12-2025,Orissa,Puri,752110,0,1
09-12-2025,Orissa,Puri,752015,0,3
09-12-2025,Orissa,Puri,752045,0,1
09-12-2025,Orissa,Puri,752109,0,1
10-12-2025,Orissa,Puri,752116,0,2
12-12-2025,Orissa,Puri,752110,0,1
12-12-2025,Orissa,Puri,752111,0,1
11-12-2025,Orissa,Puri,752106,0,2
11-12-2025,Orissa,Puri,752111,0,2
28-12-2025,Orissa,Puri,752002,1,1
28-12-2025,Orissa,Puri,752105,0,1
28-12-2025,Orissa,Puri,752107,0,2
23-12-2025,Orissa,Puri,752106,0,3
23-12-2025,Orissa,Puri,752111,0,1
27-12-2025,Orissa,Puri,752014,0,3
13-12-2025,Orissa,Puri,752016,0,1
20-12-2025,Orissa,Puri,752105,0,1
20-12-2025,Orissa,Puri,752109,0,2
22-12-2025,Orissa,Puri,752002,0,1
22-12-2025,Orissa,Puri,752046,0,1
17-12-2025,Orissa,Puri,752015,0,1
17-12-2025,Orissa,Puri,752106,0,1
17-12-2025,Orissa,Puri,752114,0,1
31-12-2025,Orissa,Puri,752002,0,1
31-12-2025,Orissa,Puri,752045,0,1
31-12-2025,Orissa,Puri,752104,0,1
31-12-2025,Orissa,Puri,752106,0,3
31-12-2025,Orissa,Puri,752109,0,1
31-12-2025,Orissa,Puri,752110,0,1
24-12-2025,Orissa,Puri,751002,0,1
24-12-2025,Orissa,Puri,752110,0,1
24-12-2025,Orissa,Puri,752114,0,1
25-12-2025,Orissa,Puri,752105,0,1
02-01-2026,Orissa,Puri,752015,0,1
02-01-2026,Orissa,Puri,752106,0,1
26-12-2025,Orissa,Puri,752105,0,1
26-12-2025,Orissa,Puri,752109,1,0
03-12-2025,Orissa,Puri,752014,0,6
03-12-2025,Orissa,Puri,752110,0,1
04-12-2025,Orissa,Puri,752016,0,2
04-12-2025,Orissa,Puri,752045,0,1
04-12-2025,Orissa,Puri,752104,1,0
04-12-2025,Orissa,Puri,752121,0,2
05-12-2025,Orissa,Puri,752016,0,1
05-12-2025,Orissa,Puri,752108,0,4
05-12-2025,Orissa,Puri,752121,0,1
06-12-2025,Orissa,Puri,752002,1,2
06-12-2025,Orissa,Puri,752014,0,8
06-11-2025,Orissa,Puri,752111,0,3
04-11-2025,Orissa,Puri,752016,0,2
04-11-2025,Orissa,Puri,752114,0,2
05-11-2025,Orissa,Puri,752110,0,1
07-11-2025,Orissa,Puri,752014,0,5
07-11-2025,Orissa,Puri,752110,0,1
12-11-2025,Orissa,Puri,752016,0,2
12-11-2025,Orissa,Puri,752105,0,1
12-11-2025,Orissa,Puri,752110,0,1
13-11-2025,Orissa,Puri,752011,0,1
13-11-2025,Orissa,Puri,752045,0,1
13-11-2025,Orissa,Puri,752111,0,2
14-11-2025,Orissa,Puri,752002,0,1
14-11-2025,Orissa,Puri,752016,0,3
14-11-2025,Orissa,Puri,752113,0,1
08-11-2025,Orissa,Puri,752014,0,5
08-11-2025,Orissa,Puri,752116,0,1
08-11-2025,Orissa,Puri,752121,0,1
11-11-2025,Orissa,Puri,752104,0,1
11-11-2025,Orissa,Puri,752105,0,1
11-11-2025,Orissa,Puri,752107,0,1
11-11-2025,Orissa,Puri,752108,0,1
11-11-2025,Orissa,Puri,752116,0,2
10-11-2025,Orissa,Puri,752002,0,4
10-11-2025,Orissa,Puri,752106,0,4
10-11-2025,Orissa,Puri,752113,0,2
21-11-2025,Orissa,Puri,752012,0,1
21-11-2025,Orissa,Puri,752107,0,1
15-11-2025,Orissa,Puri,752002,0,2
15-11-2025,Orissa,Puri,752011,0,1
15-11-2025,Orissa,Puri,752012,0,1
15-11-2025,Orissa,Puri,752014,0,5
15-11-2025,Orissa,Puri,752016,0,3
17-11-2025,Orissa,Puri,752012,1,0
17-11-2025,Orissa,Puri,752045,0,1
17-11-2025,Orissa,Puri,752106,0,4
17-11-2025,Orissa,Puri,752108,0,2
17-11-2025,Orissa,Puri,752114,0,1
19-11-2025,Orissa,Puri,752105,0,1
19-11-2025,Orissa,Puri,752109,1,2
20-11-2025,Orissa,Puri,752045,0,1
20-11-2025,Orissa,Puri,752111,0,1
01-11-2025,Orissa,Puri,752002,0,2
01-11-2025,Orissa,Puri,752011,0,1
01-11-2025,Orissa,Puri,752110,0,2
31-10-2025,Orissa,Puri,752014,0,7
31-10-2025,Orissa,Puri,752106,0,1
25-11-2025,Orissa,Puri,752002,0,2
25-11-2025,Orissa,Puri,752045,0,1
25-11-2025,Orissa,Puri,752107,0,1
24-11-2025,Orissa,Puri,752014,0,5
24-11-2025,Orissa,Puri,752106,0,1
01-12-2025,Orissa,Puri,752011,0,2
01-12-2025,Orissa,Puri,752110,0,2
30-10-2025,Orissa,Puri,752002,0,1
30-10-2025,Orissa,Puri,752046,0,1
30-10-2025,Orissa,Puri,752106,0,4
30-10-2025,Orissa,Puri,752107,0,1
23-11-2025,Orissa,Puri,752046,0,1
26-11-2025,Orissa,Puri,752015,0,1
26-11-2025,Orissa,Puri,752016,0,3
26-11-2025,Orissa,Puri,752114,0,1
02-12-2025,Orissa,Puri,752014,0,3
02-12-2025,Orissa,Puri,752016,0,4
02-12-2025,Orissa,Puri,752045,0,2
02-12-2025,Orissa,Puri,752106,0,2
02-12-2025,Orissa,Puri,752109,1,2
28-11-2025,Orissa,Puri,752119,0,1
29-11-2025,Orissa,Puri,752011,0,1
29-11-2025,Orissa,Puri,752046,0,1
29-11-2025,Orissa,Puri,752114,0,1
01-09-2025,Orissa,Puri,752002,0,1
01-09-2025,Orissa,Puri,752104,1,2
01-09-2025,Orissa,Puri,752105,0,2
01-09-2025,Orissa,Puri,752106,0,3
01-09-2025,Orissa,Puri,752108,0,1
01-09-2025,Orissa,Puri,752110,0,4
02-09-2025,Orissa,Puri,752110,0,1
02-09-2025,Orissa,Puri,752114,0,1
02-09-2025,Orissa,Puri,752121,0,1
03-09-2025,Orissa,Puri,751002,0,1
03-09-2025,Orissa,Puri,752002,0,3
03-09-2025,Orissa,Puri,752045,1,0
03-09-2025,Orissa,Puri,752046,0,1
05-09-2025,Orissa,Puri,751002,0,1
05-09-2025,Orissa,Puri,752002,0,1
05-09-2025,Orissa,Puri,752110,0,1
04-09-2025,Orissa,Puri,752108,0,1
06-09-2025,Orissa,Puri,752015,0,1
06-09-2025,Orissa,Puri,752119,0,1
08-09-2025,Orissa,Puri,752014,0,5
09-09-2025,Orissa,Puri,752109,0,3
10-09-2025,Orissa,Puri,752014,0,6
10-09-2025,Orissa,Puri,752118,0,1
11-09-2025,Orissa,Puri,752002,0,3
11-09-2025,Orissa,Puri,752104,0,2
11-09-2025,Orissa,Puri,752106,0,3
11-09-2025,Orissa,Puri,752109,0,2
11-09-2025,Orissa,Puri,752110,0,2
11-09-2025,Orissa,Puri,752114,0,1
13-09-2025,Orissa,Puri,752016,0,1
13-09-2025,Orissa,Puri,752108,2,1
12-09-2025,Orissa,Puri,752110,0,1
12-09-2025,Orissa,Puri,752111,0,1
15-09-2025,Orissa,Puri,752016,1,0
15-09-2025,Orissa,Puri,752106,0,1
15-09-2025,Orissa,Puri,752108,0,1
16-09-2025,Orissa,Puri,752011,0,1
17-09-2025,Orissa,Puri,752016,0,2
17-09-2025,Orissa,Puri,752107,0,1
18-09-2025,Orissa,Puri,752107,0,1
18-09-2025,Orissa,Puri,752110,0,1
19-09-2025,Orissa,Puri,752014,0,4
19-09-2025,Orissa,Puri,754004,1,1
20-09-2025,Orissa,Puri,752106,0,1
20-09-2025,Orissa,Puri,752119,0,2
13-10-2025,Orissa,Puri,752016,0,2
13-10-2025,Orissa,Puri,752116,0,1
15-10-2025,Orissa,Puri,752011,0,1
15-10-2025,Orissa,Puri,752050,1,0
17-10-2025,Orissa,Puri,752002,1,2
17-10-2025,Orissa,Puri,752014,0,9
17-10-2025,Orissa,Puri,752045,0,2
17-10-2025,Orissa,Puri,752106,0,3
17-10-2025,Orissa,Puri,752114,0,2
16-10-2025,Orissa,Puri,752014,0,7
16-10-2025,Orissa,Puri,752016,0,2
16-10-2025,Orissa,Puri,752045,0,1
16-10-2025,Orissa,Puri,752110,0,1
16-10-2025,Orissa,Puri,752116,0,2
16-10-2025,Orissa,Puri,752119,0,1
26-10-2025,Orissa,Puri,752002,0,5
26-10-2025,Orissa,Puri,752014,0,7
26-10-2025,Orissa,Puri,752016,0,2
26-10-2025,Orissa,Puri,752046,0,4
26-10-2025,Orissa,Puri,752107,0,2
18-10-2025,Orissa,Puri,752014,0,3
18-10-2025,Orissa,Puri,752114,0,1
18-10-2025,Orissa,Puri,752116,0,1
19-10-2025,Orissa,Puri,752014,0,4
19-10-2025,Orissa,Puri,752108,0,2
21-10-2025,Orissa,Puri,752014,0,1
20-10-2025,Orissa,Puri,752015,0,1
24-10-2025,Orissa,Puri,752109,0,3
24-10-2025,Orissa,Puri,752111,0,3
25-10-2025,Orissa,Puri,752002,0,8
25-10-2025,Orissa,Puri,752104,0,2
27-10-2025,Orissa,Puri,752002,0,2
27-10-2025,Orissa,Puri,752016,0,1
27-10-2025,Orissa,Puri,752111,1,0
27-10-2025,Orissa,Puri,752116,0,1
27-10-2025,Orissa,Puri,752119,0,1
29-10-2025,Orissa,Puri,752015,0,2
29-10-2025,Orissa,Puri,752107,0,1
28-10-2025,Orissa,Puri,752108,0,4
28-10-2025,Orissa,Puri,752114,0,1
28-10-2025,Orissa,Puri,752119,0,2
30-10-2025,Orissa,Puri,752109,0,2
30-10-2025,Orissa,Puri,752118,0,1
31-10-2025,Orissa,Puri,752011,0,1
31-10-2025,Orissa,Puri,752110,0,1
06-11-2025,Orissa,Puri,752017,0,1
05-11-2025,Orissa,Puri,752113,0,1
09-11-2025,Orissa,Puri,752015,1,0
13-11-2025,Orissa,Puri,752002,1,1
12-11-2025,Orissa,Puri,752045,1,1
02-12-2025,Orissa,Puri,752107,0,1
07-12-2025,Orissa,Puri,752016,0,2
09-12-2025,Orissa,Puri,752108,0,1
14-12-2025,Orissa,Puri,752016,0,1
14-12-2025,Orissa,Puri,752106,1,1
16-12-2025,Orissa,Puri,752119,0,1
27-11-2025,Orissa,Puri,752110,0,1
21-12-2025,Orissa,Puri,752109,0,1
21-12-2025,Orissa,Puri,752119,0,1
28-11-2025,Orissa,Puri,752015,0,2
26-11-2025,Orissa,Puri,752012,1,0
27-12-2025,Orissa,Puri,751002,0,1
31-12-2025,Orissa,Puri,752116,0,1
29-12-2025,Orissa,Puri,752111,0,1
25-12-2025,Orissa,Puri,752014,0,5
28-12-2025,Orissa,Puri,752015,0,1
28-12-2025,Orissa,Puri,752109,1,0
03-01-2026,Orissa,Puri,752104,0,1
23-12-2025,Orissa,Puri,752002,0,2
23-12-2025,Orissa,Puri,752015,1,0
23-12-2025,Orissa,Puri,752050,0,1
23-12-2025,Orissa,Puri,752109,0,3
23-12-2025,Orissa,Puri,752110,0,3
24-12-2025,Orissa,Puri,752105,0,1
25-12-2025,Orissa,Puri,752012,0,1
25-12-2025,Orissa,Puri,752016,0,1
18-12-2025,Orissa,Puri,752113,0,1
18-12-2025,Orissa,Puri,752114,0,1
18-12-2025,Orissa,Puri,752119,0,1
20-12-2025,Orissa,Puri,752046,0,1
20-12-2025,Orissa,Puri,752106,0,2
26-12-2025,Orissa,Puri,752046,0,5
26-12-2025,Orissa,Puri,752108,0,1
26-12-2025,Orissa,Puri,752113,0,1
27-12-2025,Orissa,Puri,752106,0,2
19-12-2025,Orissa,Puri,752002,0,3
19-12-2025,Orissa,Puri,752119,0,3
13-12-2025,Orissa,Puri,752046,0,2
13-12-2025,Orissa,Puri,752105,0,1
13-12-2025,Orissa,Puri,752109,0,1
22-12-2025,Orissa,Puri,752109,0,1
17-12-2025,Orissa,Puri,752012,0,1
17-12-2025,Orissa,Puri,752014,0,5
17-12-2025,Orissa,Puri,752105,0,2
17-12-2025,Orissa,Puri,752110,0,1
10-12-2025,Orissa,Puri,752046,0,3
10-12-2025,Orissa,Puri,752108,0,2
10-12-2025,Orissa,Puri,752110,0,1
16-12-2025,Orissa,Puri,752106,0,5
15-12-2025,Orissa,Puri,751002,0,1
15-12-2025,Orissa,Puri,752108,0,1
15-12-2025,Orissa,Puri,752110,0,3
15-12-2025,Orissa,Puri,752113,0,1
09-12-2025,Orissa,Puri,752016,0,1
09-12-2025,Orissa,Puri,752111,0,1
09-12-2025,Orissa,Puri,752114,0,1
03-12-2025,Orissa,Puri,752011,1,1
04-12-2025,Orissa,Puri,752014,1,8
04-12-2025,Orissa,Puri,752046,0,3
04-12-2025,Orissa,Puri,752106,0,2
05-12-2025,Orissa,Puri,752015,0,1
05-12-2025,Orissa,Puri,752106,0,1
05-12-2025,Orissa,Puri,752107,0,1
06-12-2025,Orissa,Puri,752116,0,1
14-12-2025,Orissa,Puri,752002,1,2
08-12-2025,Orissa,Puri,752015,0,1
08-12-2025,Orissa,Puri,752016,0,6
08-12-2025,Orissa,Puri,752106,0,2
08-12-2025,Orissa,Puri,752108,0,1
08-12-2025,Orissa,Puri,752111,0,3
12-12-2025,Orissa,Puri,752002,0,9
11-12-2025,Orissa,Puri,752002,0,2
